Date,Open,High,Low,Close,Volume
04/12/2024,"174.26","178.36","174.21","176.55","101,670,898"
04/11/2024,"168.34","175.46","168.16","175.04","91,070,281"
04/10/2024,"168.80","169.09","167.11","167.78","49,709,340"
04/09/2024,"168.70","170.08","168.35","169.67","42,451,207"
04/08/2024,"169.03","169.20","168.24","168.45","37,425,512"
04/05/2024,"169.59","170.39","168.95","169.58","42,104,832"
04/04/2024,"170.29","171.92","168.82","168.82","53,704,391"
04/03/2024,"168.79","170.68","168.58","169.65","47,691,719"
04/02/2024,"169.08","169.34","168.23","168.84","49,329,480"
04/01/2024,"171.19","171.25","169.48","170.03","46,240,500"
03/28/2024,"171.75","172.23","170.51","171.48","65,672,688"
03/27/2024,"170.41","173.60","170.11","173.31","60,273,273"
03/26/2024,"170.00","171.42","169.58","169.71","57,388,449"
03/25/2024,"170.57","171.94","169.45","170.85","54,288,328"
03/22/2024,"171.76","173.05","170.06","172.28","71,160,141"
03/21/2024,"177.05","177.49","170.84","171.37","106,181,297"
03/20/2024,"175.72","178.67","175.09","178.67","53,423,102"
03/19/2024,"174.34","176.61","173.03","176.08","55,215,238"
03/18/2024,"175.57","177.71","173.52","173.72","75,604,180"
03/15/2024,"171.17","172.62","170.29","172.62","121,752,703"
03/14/2024,"172.91","174.31","172.05","173.00","72,913,516"
03/13/2024,"172.77","173.19","170.76","171.13","52,488,688"
